id,loc,x,y,z,map_id,map_name
1,Schwarzhorn,622350,138725,2600,1268,Loetschental
2,Alplijhorn,622225,136975,2550,1268,Loetschental
3,Hogleifa,626325,136400,2540,1268,Loetschental
4,Bietschhornhutte,629200,138425,2580,1268,Loetschental
5,Jegihorn,629775,134850,2600,1268,Loetschental
6,Crutighorn,631350,134075,2600,1268,Loetschental
7,Jaegihorn (Baltschiederklause),634700,138375,2850,1268,Loetschental
8,Stockhorn(SE),634450,136625,2640,1268,Loetschental
9,Stockhorn(S),633875,136350,2660,1268,Loetschental
10,Tieregghorn,633075,135600,2600,1268,Loetschental
11,Dubihorn,632700,134775,2600,1268,Loetschental
12,Gruebhorn,636550,137450,2800,1268,Loetschental
13,Strahlhorn,636825,136825,2700,1268,Loetschental
14,Laegundegrat (Gredetsch),636650,136075,2640,1268,Loetschental
15,Alpjuhorn (E),636900,135450,2600,1268,Loetschental
16,Vordzenbachenhorn (E),646625,142850,2820,1269,Aletschgletscher
17,Vordzen Rothorn (S),646175,141875,2810,1269,Aletschgletscher
18,Geisshorn (SE),645175,141250,2800,1269,Aletschgletscher
19,Grossfusshorn (SE),643700,140550,2790,1269,Aletschgletscher
20,Grossfusshorn (SW),643150,140675,2800,1269,Aletschgletscher
21,Sparrhron,642025,138800,2780,1269,Aletschgletscher
22,Olmenhorn (SE),647575,144275,2820,1269,Aletschgletscher
23,Eiggishorn (NE),650775,142575,2680,1269,Aletschgletscher
24,Strahlhorn (S),650275,144450,2820,1269,Aletschgletscher
25,Bettmerhorn (S),649100,140200,2690,1269,Aletschgletscher
26,Distelberg,640900,143425,2840,1269,Aletschgletscher
27,Oberaletschhutte,641450,141800,2820,1269,Aletschgletscher
28,Hohstock,640700,138475,2750,1269,Aletschgletscher
29,Grisighorn,639075,137250,2820,1269,Aletschgletscher
30,Risihorn,655025,145225,2660,1270,Binntal
31,Schwarzegge,665700,143150,2690,1270,Binntal
32,Albrun,666575,136325,2650,1290,Binntal
33,Tochuhorn,643925,123325,2500,1289,Brig
34,Schwarzhorn (E),629075,132775,2500,1288,Raron
35,Hufjegrat,629250,133725,2560,1288,Raron
36,Wiwannihorn (SW),631375,133225,2550,1288,Raron
37,Ougstchummuhorn (W),631300,132425,2500,1288,Raron
38,Maelchgrat,635950,132275,2540,1288,Raron
39,Garsthorn,637200,132225,2560,1288,Raron
40,Schiltfurgga,637075,133475,2600,1288,Raron
41,Wiwannihorn (W),632725,133800,2560,1288,Raron
42,Laegundegrat (Saas),634150,114500,2580,1308,St. Niklaus
43,Mittleberg,629900,111725,2660,1308,St. Niklaus
44,Wasuhorn,625625,112825,2640,1308,St. Niklaus
45,Glatthorn,648100,117950,2200,1309,Simplon
46,Wyssbodenhorn (NW),644450,118400,2300,1309,Simplon
47,Wyssbodenhorn (SE),645350,117850,2220,1309,Simplon
48,Bodmerhorn,646350,115700,2160,1309,Simplon
49,Guggilihorn,650225,113900,2060,1309,Simplon
50,Trifthorn (W),640950,106425,2640,1329,Saas
51,Trifthorn (S),641975,106525,2760,1329,Saas
52,Trifthorn (SE),642525,106500,2800,1329,Saas
53,Dri Hornli,643575,106425,2880,1329,Saas
54,Untershorn,641625,104925,2680,1329,Saas
55,Mittaghorn,639050,104125,2700,1329,Saas
56,Egginer,638775,102700,2820,1329,Saas
57,Kl Allain,638950,101100,2860,1329,Saas
58,Schwarzbergkopf,638950,99175,2880,1329,Saas
59,Punta Turiggia,648100,103200,2250,1329,Saas
60,Cimidi Pozzuoli,649300,104025,2100,1329,Saas
61,Zibelenfluehorn,648600,107675,2500,1329,Saas
62,Schijenhorn,649200,108225,2420,1329,Saas
63,Balmahorn,650175,109200,2340,1329,Saas
64,Guglen,635250,105500,2900,1328,Randa
65,Brunegghorn,625300,108475,2760,1328,Randa
66,Weisshornhutte,623600,103850,2920,1328,Randa
67,Pte Dent de Veisivi (NW),605825,101525,2480,1327,Evolene
68,Pte Dent de Veisivi (NE),606225,101375,2480,1327,Evolene
69,Pte Dent de Veisivi (E-N),607200,100950,2500,1327,Evolene
70,Pte Dent de Veisivi (E-NE),607575,100475,2540,1327,Evolene
71,Pte Dent de Veisivi (E-E),607725,100000,2660,1327,Evolene
72,Pte Dent de Veisivi (E-S),608100,99200,2700,1327,Evolene
73,Pte des Genevois,607775,98300,2800,1327,Evolene
74,M. Mine,609325,98225,2780,1327,Evolene
75,La Maya,610100,100225,2740,1327,Evolene
76,Ptes de Mourti,609425,101600,2640,1327,Evolene
77,La Rousette,602300,98875,2560,1326,Rosablanche
